Period,averageRating
1916-1943,5.8
1916-1943,6.4
1916-1943,8.1
1916-1943,1.7
1916-1943,5.9
1916-1943,5.0
1916-1943,6.9
1916-1943,8.5
1916-1943,4.8
1916-1943,7.6
1916-1943,4.0
1916-1943,7.4
1916-1943,6.9
1916-1943,7.1
1916-1943,6.6
1916-1943,5.8
1916-1943,6.0
1916-1943,7.6
1916-1943,7.3
1916-1943,5.2
1916-1943,6.4
1916-1943,5.0
1916-1943,7.4
1916-1943,7.8
1916-1943,3.6
1916-1943,5.3
1916-1943,6.5
1916-1943,8.6
1916-1943,6.1
1916-1943,6.5
1916-1943,6.3
1916-1943,5.4
1916-1943,4.7
1916-1943,5.6
1916-1943,6.6
1916-1943,6.3
1916-1943,8.0
1916-1943,7.8
1916-1943,3.3
1916-1943,6.6
1916-1943,6.8
1916-1943,2.1
1916-1943,7.2
1916-1943,6.5
1916-1943,7.1
1916-1943,6.2
1916-1943,7.0
1916-1943,5.9
1916-1943,6.6
1916-1943,6.0
1916-1943,7.4
1916-1943,7.0
1916-1943,5.8
1916-1943,5.7
1916-1943,6.8
1916-1943,7.5
1916-1943,6.5
1916-1943,6.0
1916-1943,3.8
1916-1943,7.0
1916-1943,7.6
1916-1943,5.7
1916-1943,6.0
1916-1943,5.8
1916-1943,3.9
1916-1943,4.3
1916-1943,7.4
1916-1943,6.5
1916-1943,6.0
1916-1943,5.3
1916-1943,6.4
1916-1943,6.9
1916-1943,5.7
1916-1943,7.2
1916-1943,7.1
1916-1943,5.5
1916-1943,5.4
1916-1943,6.6
1916-1943,6.5
1916-1943,4.0
1916-1943,5.6
1916-1943,6.5
1916-1943,6.5
1916-1943,5.8
1916-1943,7.0
1916-1943,5.5
1916-1943,6.2
1916-1943,5.1
1916-1943,6.1
1916-1943,6.9
1916-1943,4.6
1916-1943,6.8
1916-1943,6.2
1916-1943,5.7
1916-1943,4.8
1916-1943,5.1
1916-1943,6.2
1916-1943,6.4
1916-1943,6.8
1916-1943,6.0
1916-1943,7.1
1916-1943,6.2
1916-1943,4.4
1916-1943,8.5
1916-1943,6.4
1916-1943,6.4
1916-1943,6.1
1916-1943,5.2
1916-1943,6.1
1916-1943,6.4
1916-1943,7.3
1916-1943,7.2
1916-1943,4.3
1916-1943,6.3
1916-1943,4.7
1916-1943,6.7
1916-1943,5.8
1916-1943,8.2
1916-1943,5.4
1916-1943,7.0
1916-1943,7.0
1916-1943,7.2
1916-1943,7.8
1916-1943,5.5
1916-1943,5.3
1916-1943,6.4
1916-1943,6.5
1916-1943,6.2
1916-1943,6.7
1916-1943,6.8
1916-1943,6.4
1916-1943,2.8
1916-1943,4.0
1916-1943,4.3
1916-1943,4.1
1916-1943,7.4
1916-1943,5.6
1916-1943,5.9
1916-1943,7.0
1916-1943,7.5
1916-1943,5.5
1916-1943,6.6
1916-1943,6.1
1916-1943,5.2
1916-1943,4.4
1916-1943,6.7
1916-1943,6.6
1916-1943,5.4
1916-1943,6.0
1916-1943,6.9
1916-1943,4.6
1916-1943,6.4
1916-1943,7.2
1916-1943,5.8
1916-1943,5.2
1916-1943,4.2
1916-1943,4.9
1916-1943,6.3
1916-1943,4.1
1916-1943,5.6
1916-1943,7.0
1916-1943,5.5
1916-1943,6.6
1916-1943,7.6
1916-1943,6.2
1916-1943,7.4
1916-1943,6.8
